filename,Country,State/Province,County,Location,Scientific name,Scientific author,Habitat and description,Collected by,Collector Number,Collection date,collection
000005935.large.png,United States,GA,Chatham,"Plant Introduction Station, Savannah.",Pasania glabra,(Thunb.) Oerst.,Plant Introduction Station. Tree.,"R. E. Perdue, Jr. and K. Blum",4355,8/21/1961,Herbarium
000006447.large.png,United States,FL,Gadsden,"Wallwood Scout Reservation, just North of Ocklawaha Arm of Lake Talquin. 8.5 air miles South of Quincy. SW1/4 Sec. 26, T1N, R4W.",Quercus laevis,Walt.,Common with pine in sandy soil of Wallwood Scout Reservation.,Loran C. Anderson,5761,3/26/1982,Herbarium
000007041.large.png,United States,FL,Liberty,"On sandy ridge, South edge of Rock Bluff community, by Co. road 269.",Crataegus,unknown,"Arborescent, trunk bark thickish and rough-blocky. This, RKG 82672 and RKG 82673 having basal trunks ca 2.5 m apart and apparently not connected. Borders of second growth thicket of Quercus hemisphaerica on sandy ridge.",R. K. Godfrey,82672,6/1/1988,Herbarium
000007042.large.png,United States,FL,Liberty,"On sandy ridge, South edge of Rock Bluff community, by Co. road 269.",Crataegus,unknown,"This, RKG 82673 and RKG 82672 having basal trunks ca 2.5 m apart and apparently not connected. Arborescent, trunk bark thickish and rough-blocky. Borders of second growth thicket of Quercus hemisphaerica on sandy ridge.",R. K. Godfrey,82673,6/1/1988,Herbarium
000007043.large.png,United States,FL,Suwannee,"In open area of highway right-of-way just next to a thicket of second growth, mainly Quercus hemisphaerica and Prunus serotina. By U.S. route 27, ca 1 mile East of Branford.",Crataegus,unknown,"Arborescent, ca 2.5 m tall. Bark of trunk thickish and rough-blocky. This: RKG 82677 and RKG 82676 with their bases ca 3 m apart but apparently not connected. In open area of highway right-of-way just next to a thicket of second growth, mainly Quercus hemisphaerica and Prunus serotina.",R. K. Godfrey,82677,6/3/1988,Herbarium
000007044.large.png,United States,FL,Lafayette,"3 miles NW of Mayo, by U.S. route 27.",Crataegus,unknown,"Tree ca 6 m tall, bark thickish and rough-blocky. Many branchlets arching, some of them 'weeping.' Isolated in a fence line of a sandy field.",R. K. Godfrey,82682,6/3/1988,Herbarium
000007045.large.png,United States,FL,Madison,"By U.S. route 90, 9 miles East of intersection of U.S. 90 and U.S. 221 at Greenville.",Crataegus,unknown,"RKG coll. nos. 82711 thru 82715 from separate plants, the largest of which, the only one in a well vegetated hedge row, was approximately 6 m tall, its crown broader than 6 m and very densely branched. From ground level to the top, too dense to be able to see from one side to the other; others in open area of right-of-way of highway, smaller and openly relatively few-branched. Trunk bark thickish and rough-blocky. Sandy soil of slope of ridge. (Sheet 1 of 2)",R. K. Godfrey,82714,6/14/1988,Herbarium
000007046.large.png,United States,FL,Madison,"By U.S. route 90, 9 miles East of intersection of U.S. 90 and U.S. 221 at Greenville.",Crataegus,unknown,"RKG coll. nos. 82711 thru 82715 from separate plants, the largest of which, the only one in a well vegetated hedge row, was approximately 6 m tall, its crown broader than 6 m and very densely branched. From ground level to the top, too dense to be able to see from one side to the other; others in open area of right-of-way of highway, smaller and openly relatively few-branched. Trunk bark thickish and rough-blocky. Sandy soil of slope of ridge. (Sheet 2 of 2)",R. K. Godfrey,82714,6/14/1988,Herbarium
000007047.large.png,United States,FL,Madison,"By U.S. route 90, 9 miles East of intersection of U.S. 90 and U.S. 221 at Greenville.",Crataegus,unknown,"RKG coll. nos. 82711 thru 82715 from separate plants, the largest of which, the only one in a well vegetated hedge row, was approximately 6 m tall, its crown broader than 6 m and very densely branched. From ground level to the top, too dense to be able to see from one side to the other; others in open area of right-of-way of highway, smaller and openly relatively few-branched. Trunk bark thickish and rough-blocky. Sandy soil of slope of ridge. (Sheet 1 of 2)",R. K. Godfrey,82715,6/14/1988,Herbarium
000007048.large.png,United States,FL,Madison,"By U.S. route 90, 9 miles East of intersection of U.S. 90 and U.S. 221 at Greenville.",Crataegus,unknown,"RKG coll. nos. 82711 thru 82715 from separate plants, the largest of which, the only one in a well vegetated hedge row, was approximately 6 m tall, its crown broader than 6 m and very densely branched. From ground level to the top, too dense to be able to see from one side to the other; others in open area of right-of-way of highway, smaller and openly relatively few-branched. Trunk bark thickish and rough-blocky. Sandy soil of slope of ridge. (Sheet 2 of 2)",R. K. Godfrey,82715,6/14/1988,Herbarium
000007049.large.png,United States,FL,Madison,"By U.S. route 90, 9 miles East of intersection of U.S. 90 and U.S. 221 at Greenville.",Crataegus,unknown,"RKG coll. nos. 82711 thru 82715 from separate plants, the largest of which, the only one in a well vegetated hedge row, was approximately 6 m tall, its crown broader than 6 m and very densely branched. From ground level to the top, too dense to be able to see from one side to the other; others in open area of right-of-way of highway, smaller and openly relatively few-branched. Trunk bark thickish and rough-blocky. Sandy soil of slope of ridge. (Sheet 1 of 2)",R. K. Godfrey,82713,6/14/1988,Herbarium
000007050.large.png,United States,FL,Madison,"By U.S. route 90, 9 miles East of intersection of U.S. 90 and U.S. 221 at Greenville.",Crataegus,unknown,"RKG coll. nos. 82711 thru 82715 from separate plants, the largest of which, the only one in a well vegetated hedge row, was approximately 6 m tall, its crown broader than 6 m and very densely branched. From ground level to the top, too dense to be able to see from one side to the other; others in open area of right-of-way of highway, smaller and openly relatively few-branched. Trunk bark thickish and rough-blocky. Sandy soil of slope of ridge. (Sheet 2 of 2)",R. K. Godfrey,82713,6/14/1988,Herbarium
000007051.large.png,United States,FL,Madison,"By U.S. route 90, 9 miles East of intersection of U.S. 90 and U.S. 221 at Greenville.",Crataegus,unknown,"RKG coll. nos. 82711 thru 82715 from separate plants, the largest of which, the only one in a well vegetated hedge row, was approximately 6 m tall, its crown broader than 6 m and very densely branched. From ground level to the top, too dense to be able to see from one side to the other; others in open area of right-of-way of highway, smaller and openly relatively few-branched. Trunk bark thickish and rough-blocky. Sandy soil of slope of ridge. (Sheet 1 of 2)",R. K. Godfrey,82712,6/14/1988,Herbarium
000007052.large.png,United States,FL,Madison,"By U.S. route 90, 9 miles East of intersection of U.S. 90 and U.S. 221 at Greenville.",Crataegus,unknown,"RKG coll. nos. 82711 thru 82715 from separate plants, the largest of which, the only one in a well vegetated hedge row, was approximately 6 m tall, its crown broader than 6 m and very densely branched. From ground level to the top, too dense to be able to see from one side to the other; others in open area of right-of-way of highway, smaller and openly relatively few-branched. Trunk bark thickish and rough-blocky. Sandy soil of slope of ridge. (Sheet 2 of 2)",R. K. Godfrey,82712,6/14/1988,Herbarium
000007053.large.png,United States,FL,Bay,"On Escanabana Ave., Panama City Beach.",Crataegus,unknown,"Plant 4.5 tall, ca 6 m across the crown, the latter very dense from the ground to the broad top. In a vacant lot of residential area, the lot with rather dense growth of mixture of sand pine, Quercus geminata, Q. myrtifolia, Q. laevis, Q. incana, Ceratiola ericoides, Conradina canescens. Branchlets of the Crataegus significantly 'weeping.' Trunk bark thick, rough-blocky. (Sheet 1 of 2)",R. K. Godfrey,82723,6/17/1988,Herbarium
000007054.large.png,United States,FL,Bay,"On Escanabana Ave., Panama City Beach.",Crataegus,unknown,"Plant 4.5 tall, ca 6 m across the crown, the latter very dense from the ground to the broad top. In a vacant lot of residential area, the lot with rather dense growth of mixture of sand pine, Quercus geminata, Q. myrtifolia, Q. laevis, Q. incana, Ceratiola ericoides, Conradina canescens. Branchlets of the Crataegus significantly 'weeping.' Trunk bark thick, rough-blocky. (Sheet 1 of 2)",R. K. Godfrey,82723,6/17/1988,Herbarium
000007055.large.png,United States,FL,Madison,"By U.S. route 90, 9 miles East of intersection of U.S. 90 and U.S. 221 at Greenville.",Crataegus,unknown,"RKG coll. nos. 82711 thru 82715 from separate plants, the largest of which, the only one in a well vegetated hedge row, was approximately 6 m tall, its crown broader than 6 m and very densely branched. From ground level to the top, too dense to be able to see from one side to the other; others in open area of right-of-way of highway, smaller and openly relatively few-branched. Trunk bark thickish and rough-blocky. Sandy soil of slope of ridge. (Sheet 2 of 2)",R. K. Godfrey,82711,6/14/1988,Herbarium
000007056.large.png,United States,FL,Madison,"By U.S. route 90, 9 miles East of intersection of U.S. 90 and U.S. 221 at Greenville.",Crataegus,unknown,"RKG coll. nos. 82711 thru 82715 from separate plants, the largest of which, the only one in a well vegetated hedge row, was approximately 6 m tall, its crown broader than 6 m and very densely branched. From ground level to the top, too dense to be able to see from one side to the other; others in open area of right-of-way of highway, smaller and openly relatively few-branched. Trunk bark thickish and rough-blocky. Sandy soil of slope of ridge. (Sheet 2 of 2)",R. K. Godfrey,82711,6/14/1988,Herbarium
000007057.large.png,United States,FL,Leon,"Small tree at edge of upland woodland; at end of Old Bumpy Road, ca 1 mile SE of Capitola (on Bull Bay Farm).",Crataegus,unknown,Small tree at edge of upland woodland.,R. K. Godfrey,84214,8/28/1991,Herbarium
000007058.large.png,United States,FL,Walton,"In a moderately thick stand of second growth on sandy ridge, 3.8 miles West of intersection of US. route 90 and U.S. 331 in DeFuniak Springs, by 90.",Crataegus,unknown,"(RKG nos. 82717 thru 720 each from a separate plant in a local area). Individuals to 3 m tall, bark thickish, rough-blocky. In a moderately thick stand of second growth on sandy ridge. Some associates: few longleaf pine and sand pine, Quercus margaretta, Q. hemisphaerica, Q. laevis, Q. incana, Ilex vomitoria, Diospyros virginiana, Prunus serotina.  (Sheet 1 of 2)",R. K. Godfrey,82719,6/17/1988,Herbarium
000007059.large.png,United States,FL,Walton,"In a moderately thick stand of second growth on sandy ridge, 3.8 miles West of intersection of US. route 90 and U.S. 331 in DeFuniak Springs, by 90.",Crataegus,unknown,"(RKG nos. 82717 thru 720 each from a separate plant in a local area). Individuals to 3 m tall, bark thickish, rough-blocky. In a moderately thick stand of second growth on sandy ridge. Some associates: few longleaf pine and sand pine, Quercus margaretta, Q. hemisphaerica, Q. laevis, Q. incana, Ilex vomitoria, Diospyros virginiana, Prunus serotina.  (Sheet 2 of 2)",R. K. Godfrey,82719,6/17/1988,Herbarium
000007060.large.png,United States,FL,Walton,"In a moderately thick stand of second growth on sandy ridge, 3.8 miles West of intersection of US. route 90 and U.S. 331 in DeFuniak Springs, by 90.",Crataegus,unknown,"(RKG nos. 82717 thru 720 each from a separate plant in a local area). Individuals to 3 m tall, bark thickish, rough-blocky. In a moderately thick stand of second growth on sandy ridge. Some associates: few longleaf pine and sand pine, Quercus margaretta, Q. hemisphaerica, Q. laevis, Q. incana, Ilex vomitoria, Diospyros virginiana, Prunus serotina.  (Sheet 1 of 2)",R. K. Godfrey,82718,6/17/1988,Herbarium
000007061.large.png,United States,FL,Walton,"In a moderately thick stand of second growth on sandy ridge, 3.8 miles West of intersection of US. route 90 and U.S. 331 in DeFuniak Springs, by 90.",Crataegus,unknown,"(RKG nos. 82717 thru 720 each from a separate plant in a local area). Individuals to 3 m tall, bark thickish, rough-blocky. In a moderately thick stand of second growth on sandy ridge. Some associates: few longleaf pine and sand pine, Quercus margaretta, Q. hemisphaerica, Q. laevis, Q. incana, Ilex vomitoria, Diospyros virginiana, Prunus serotina.  (Sheet 2 of 2)",R. K. Godfrey,82718,6/17/1988,Herbarium
000007062.large.png,United States,FL,Walton,"In a moderately thick stand of second growth on sandy ridge, 3.8 miles West of intersection of US. route 90 and U.S. 331 in DeFuniak Springs, by 90.",Crataegus,unknown,"(RKG nos. 82717 thru 720 each from a separate plant in a local area). Individuals to 3 m tall, bark thickish, rough-blocky. In a moderately thick stand of second growth on sandy ridge. Some associates: few longleaf pine and sand pine, Quercus margaretta, Q. hemisphaerica, Q. laevis, Q. incana, Ilex vomitoria, Diospyros virginiana, Prunus serotina.  (Sheet 1 of 2)",R. K. Godfrey,82717,6/17/1988,Herbarium
000007063.large.png,United States of America,FL,Walton,"In a moderately thick stand of second growth on sandy ridge, 3.8 miles West of intersection of US. route 90 and U.S. 331 in DeFuniak Springs, by 90.",Crataegus,unknown,"(RKG nos. 82717 thru 720 each from a separate plant in a local area). Individuals to 3 m tall, bark thickish, rough-blocky. In a moderately thick stand of second growth on sandy ridge. Some associates: few longleaf pine and sand pine, Quercus margaretta, Q. hemisphaerica, Q. laevis, Q. incana, Ilex vomitoria, Diospyros virginiana, Prunus serotina.  (Sheet 2 of 2)",R. K. Godfrey,82717,6/17/1988,Herbarium
000007064.large.png,United States,FL,Leon,"Small tree at edge of upland woodland; at end of Old Bumpy Road, ca 1 mile SE of Capitola (on Bull Bay Farm).",Crataegus,unknown,Small tree at edge of upland woodland.,R. K. Godfrey,84214,8/28/1991,Herbarium
000007065.large.png,United States,FL,Walton,"4.4 miles South of intersection of U.S. route 90 and U.S. 331 at DeFuniak Springs, by 331.",Crataegus,unknown,"RKG coll. nos. 82721 and 82722 from separate plants near each other; numerous others judged to be the same in the near vicinity: on sand ridge with a thin stand of 'sick' slash pine planted there amidst an occasional longleaf pine. Plants to 3 m tall, trunk bark thickish, rough-blocky. Some associates besides the pines: much Ilex vomitoria, with intermixed Quercus laevis, Q. margaretta, Q. incana, Q. hemishpaerica. (No elongation shoots on 82722)",R. K. Godfrey,82722,6/17/1988,Herbarium
000007066.large.png,United States,FL,Walton,"In a moderately thick stand of second growth on sandy ridge, 3.8 miles West of intersection of US. route 90 and U.S. 331 in DeFuniak Springs, by 90.",Crataegus,unknown,"(RKG nos. 82717 thru 720 each from a separate plant in a local area). Individuals to 3 m tall, bark thickish, rough-blocky. In a moderately thick stand of second growth on sandy ridge. Some associates: few longleaf pine and sand pine, Quercus margaretta, Q. hemisphaerica, Q. laevis, Q. incana, Ilex vomitoria, Diospyros virginiana, Prunus serotina.  (Sheet 1 of 2)",R. K. Godfrey,82720,6/17/1988,Herbarium
000007067.large.png,United States,FL,Walton,"In a moderately thick stand of second growth on sandy ridge, 3.8 miles West of intersection of US. route 90 and U.S. 331 in DeFuniak Springs, by 90.",Crataegus,unknown,"(RKG nos. 82717 thru 720 each from a separate plant in a local area). Individuals to 3 m tall, bark thickish, rough-blocky. In a moderately thick stand of second growth on sandy ridge. Some associates: few longleaf pine and sand pine, Quercus margaretta, Q. hemisphaerica, Q. laevis, Q. incana, Ilex vomitoria, Diospyros virginiana, Prunus serotina.  (Sheet 2 of 2)",R. K. Godfrey,82720,6/17/1988,Herbarium
000007068.large.png,United States,FL,Walton,"4.4 miles South of intersection of U.S. route 90 and U.S. 331 at DeFuniak Springs, by 331.",Crataegus,unknown,"RKG coll. nos. 82721 and 82722 from separate plants near each other; numerous others judged to be the same in the near vicinity: on sand ridge with a thin stand of 'sick' slash pine planted there amidst an occasional longleaf pine. Plants to 3 m tall, trunk bark thickish, rough-blocky. Some associates besides the pines: much Ilex vomitoria, with intermixed Quercus laevis, Q. margaretta, Q. incana, Q. hemishpaerica. (No elongation shoots on 82722) (Sheet 1 of 2)",R. K. Godfrey,82721,6/17/1988,Herbarium
000007069.large.png,United States,FL,Walton,"4.4 miles South of intersection of U.S. route 90 and U.S. 331 at DeFuniak Springs, by 331.",Crataegus,unknown,"RKG coll. nos. 82721 and 82722 from separate plants near each other; numerous others judged to be the same in the near vicinity: on sand ridge with a thin stand of 'sick' slash pine planted there amidst an occasional longleaf pine. Plants to 3 m tall, trunk bark thickish, rough-blocky. Some associates besides the pines: much Ilex vomitoria, with intermixed Quercus laevis, Q. margaretta, Q. incana, Q. hemishpaerica. (No elongation shoots on 82722) (Sheet 2 of 2)",R. K. Godfrey,82721,6/17/1988,Herbarium
000007328.large.png,United States,FL,Walton,"2 miles SW of Darlington, by Fla. route 2.",Crataegus rufula,Sarg.,Small tree in boggy slash pine woodland (with Aronia arbutifolia),R. K. Godfrey,79424,3/17/1982,Herbarium
000007329.large.png,United States,FL,Escambia,Bluff Springs. Near West bank of Escambia River via Byrnville road East of US Hw 29.,Crataegus opaca,Hook and Arn.,"Near river bank. Small tree in understory of swamp forest. With Planera aquatica, Gleditsia, Carya aquatica.",James R. Burkhalter,9106,10/15/1983,Herbarium
000007341.large.png,United States,FL,Wakulla,Near Crawfordville.,Crataegus visenda,Beadle,"Small trees, ca. 2-3 m. high; old fields.",R. K. Godfrey,53118,4/2/1955,Herbarium
000007342.large.png,United States,FL,Leon,0.6 miles east of S-61 on Old River Road.,Crataegus cf. visenda,Beadle,Alongside sandy road in medium cover.,David W. Thompson,2,4/6/1970,Herbarium
000007343.large.png,United States,FL,Highlands,"North of Lake Placid, near junction of U.S route 27 and Josephine Creek; Sec. 3, T36S, R29E.",Crataegus lepida,Beadle,Uncommon: shrub to 1.5 m tall: fruit dull-orange: in White Sand Shrub.,Walter S. Judd with Daniel B. Ward and Beverly Judd,2504,9/29/1979,Herbarium
000007344.large.png,United States,FL,Highlands,About four miles north of Lake Placid.,Crataegus lepida,Beadle,"Rather dense Pinus clausa scrub with Carya florida, Quercus myrtifolia, Quercus geminata, Osmanthus megacarpa, Prunus geniculatus, Bumelia, Ceranthera, etc. Fresh fruits 10-13 mm thick, 12-16 mm long, orange; bark scaly ashy gray; two trees seen.","James D. Ray, Jr., Olga Lakela, Jackie Patman",10400,10/7/1960,Herbarium
000007354.large.png,United States,FL,Gadsden,"Old Bainbridge Rd., north of Tallahassee.",Crataegus aestivalis,(Walt.) T. and G.,unknown,H. Kurz,unknown,8/24/1951,Herbarium
000007355.large.png,United States,FL,Jackson,"Lowland area. No standing water; to West side of Fla. route 271, 16.6 miles North of Sneads (from junction of U.S. route 90).",Crataegus aestivalis,(Walt.) T. and G. (sens. lat.),"Many plants in a lowland area, muchof it with Quercus virginiana overstiry, no standing water. Specimens numbered (RKG) 80331 through 80336 each from a different plant.",R. K. Godfrey,80336,3/15/1983,Herbarium
000007356.large.png,United States,FL,Jackson,"Lowland area. No standing water; to West side of Fla. route 271, 16.6 miles North of Sneads (from junction of U.S. route 90).",Crataegus aestivalis,(Walt.) T. and G.,"Many plants in a lowland area, muchof it with Quercus virginiana overstiry, no standing water. Specimens numbered (RKG) 80331 through 80336 each from a different plant.",R. K. Godfrey,80332,3/15/1983,Herbarium
000007357.large.png,United States,FL,Leon,"Along the Ochlockenee River, upland.",Crataegus uniflora,Muenchh.,"Small tree, hardwood forest along the Ochlockenee River, upland.",R. K. Godfrey and H. Kurz,54743,5/8/1956,Herbarium
000007358.large.png,United States,FL,Liberty,"In thin stand of planted slash pine on sand ridge, South side of Little Sweetwater Creek, NE1/4 Sec. 19, T1N, R7W. North of Bristol, Nature Conservancy property.",Crataegus uniflora,Muenchh.,"Arborescent, leaves sublustrous above. In thin stand of planted slash pine on sand ridge.",R. K. Godfrey,80670,5/28/1983,Herbarium
000007359.large.png,United States,FL,Gadsden,"On dry sandy sites on west side of Wallwood Scout Reservation, ca. 10 air miles South of Quincy.",Crataegus uniflora,Muenchh.,"Frequent, smallish tree on dry sandy sites.",Loran C. Anderson,4311,7/10/1976,Herbarium
000007360.large.png,United States,FL,Alachua,Open area beyond edge of hammock at Alachua Sink.,Crataegus uniflora,Muenchh.,"Shrub with many stems and forming a bushy branched 'crown' ca 2.5 m high and somewhat broader, open area beyond edge of hammock, at Alachua Sink.",Robert K. Godfrey with R. W. Simons and Angus Gholson,81390,6/22/1984,Herbarium
000007361.large.png,United States,FL,Leon,"Along the Ochlockonee River, Apalachicola National Forest, off Fla. route 375 South of route 20 3.4 miles, at end of forest road 390, generally South of Lake Talquin Dam.",Crataegus uniflora,Muenchh.,"Shrub ca 1 m tall, branches spreading. Borders of mesic woodland, bluff along river.",R. K. Godfrey,80617,5/17/1983,Herbarium
000007362.large.png,United States,FL,Jefferson,"Border of upland pine woodland, by U.S. route 27, South side of highway just beyond Burnt Mill Creek, West of Lloyd/Wacissa crossroad.",Crataegus uniflora,Muenchh.,"Shrub, border of upland pine woodland.",R. K. Godfrey,80592,5/9/1983,Herbarium
000007363.large.png,United States,FL,Leon,"Semi-open oak woodland (once an old field), vicinity of the Junior Museum West side of Tallahassee.",Crataegus uniflora,Muenchh.,"Arborescent, single stem, ca 2.5 tall, in semi-open oak woodland (once an old field).",Robert K. Godfrey,80832,8/5/1983,Herbarium
000007364.large.png,United States,FL,Liberty,"Semi-open sandy ridge near the picnic area, Torreya State Park.",Crataegus uniflora,Muenchh.,Arborescent. Semi-open sandy ridge near the picnic area.,R. K. Godfrey,79453,3/22/1982,Herbarium
000007365.large.png,United States,FL,Leon,"In semi-open oak woodland (once an old field), vicinity of the Junior Museum, West side of Tallahassee.",Crataegus uniflora,Muenchh.,"Arborescent, single stem, ca 2.5 m tall. In semi-open oak woodland (once an old field).",Robert K. Godfrey,80832,8/5/1983,Herbarium
000007366.large.png,United States of America,FL,Liberty,Torreya Park. Upland.,Crataegus uniflora,Muenchh.,Upland.,H. Kurz,unknown,10/21/1950,Herbarium
000007367.large.png,United States,FL,Clay,1.4 miles northeast of Middleburg.,Crataegus uniflora,Muenchh.,unknown,H. Kurz,unknown,6/7/1950,Herbarium
000007368.large.png,United States,FL,Leon,3 m. North of Chaires.,Crataegus uniflora,Muenchh.,"Small shrub, up to 1 meter; understory in rich oak-pine woods. Flowers single, white.",R. Kral,2161,3/29/1956,Herbarium
000007369.large.png,United States,FL,Wakulla,Hammock west of Lower Bridge on Wakulla River,Crataegus uniflora,Muenchh.,Plant 18' high; hammock west of river.,H. Kurz,unknown,9/11/1951,Herbarium
000007370.large.png,United States,FL,Jefferson,20 miles SE of Tallahassee on Perry Highway near Waukeenah.,Crataegus uniflora,Muenchh.,unknown,H. Kurz,unknown,9/30/1950,Herbarium
000007371.large.png,United States,FL,Jackson,Uplands at Marianna Caverns State Park.,Crataegus uniflora,Muenchh.,Uplands.,Richard S. Mitchell,1010,5/3/1961,Herbarium
000007372.large.png,United States,FL,Columbia,2 miles west of Santa Fe River on Fla. route 20.,Crataegus uniflora,Muenchh.,unknown,H. Kurz,360,10/1/1950,Herbarium
